Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
RIVAZUR CAKES;61980411500027;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
RIGA;88548029300079;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
REITZEL BRIAND;34746424000063;Entreprise;Maître;Ecocert;;Planification - Suivi (physique);26 mai 2026
RAFFOLE;98090218300014;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PRUNIER SAS;34905002100022;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PRODUCTION LA PRADE / SOFICOR;38390742500029;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PMC LINGERIE;44461097600011;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PLANTIN;70692021200018;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
PERRIN VERMOT SA;30647461000020;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PATRELLE;38472660000024;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PATISSERIE BEURLAY;42969802000014;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PATISSERIE BAILLON;30582580400027;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
PAGES;34159403400017;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
ODNV;37748122100044;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
NINKASI FABRIQUES;42395306600010;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
NEMO INVEST (GROUPE NEMO);53453178500028;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
NEMECO;40032621100051;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
MOOM TABLEWARE (LES NOUVELLES PAILLES);88359637100012;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
MIDIFLORE PLANTES AROMATIQUES;49086449300013;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
MEDITERRANEAN FOOD SOLUTIONS;75366031500031;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
MARTIN POURET;08608029800010;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
MAISON ROUCADIL;32732331700013;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
Mainjolle;41011163700055;Entreprise;Suiveur;Ecocert;;Planification - Renouvellement;26 mai 2026
MAGDA;38866963200076;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
LUCIEN GEORGELIN SAS;38251081600038;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
LSDH (LAITERIE DE SAINT-DENIS DE L'HOTEL);08558149400029;Entreprise;Maître;Ecocert;;Terminé - Suivi (physique);26 mai 2026
LES SALINES DE GUERANDE (COOPERATIVE LE GUERANDAIS);34924131500010;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
LES RUCHERS DU GUE;48304492100011;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
LES QUATRE SAISONS;32304875100024;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
LES METS DE PROVENCE;32177464800026;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
